order_id,city,pickup_lat,pickup_lon,drop_lat,drop_lon
ORD000001,Delhi,28.66071,77.459852,28.671147,77.448313
ORD000002,Mumbai,18.927997,72.833152,18.943582,72.826331
ORD000003,Bangalore,12.949112,77.607985,13.221927,77.696979
ORD000004,Kolkata,22.494015,88.362218,22.5477,88.33332
ORD000005,Hyderabad,17.431747,78.346979,17.621269,78.496693
ORD000006,Ahmedabad,23.013419,72.473001,23.205407,72.662656
ORD000007,Delhi,28.525293,77.196806,28.822813,77.068932
ORD000008,Mumbai,18.901632,72.837185,18.930962,72.837413
ORD000009,Bangalore,12.84211,77.667053,12.956594,77.607791
ORD000010,Kolkata,22.802239,88.410847,22.484112,88.348409
ORD000011,Hyderabad,17.516588,78.398809,17.551715,78.37326
ORD000012,Ahmedabad,22.992693,72.451072,22.996126,72.471593
ORD000013,Delhi,28.614143,77.201568,28.634942,77.212047
ORD000014,Mumbai,19.034578,72.912558,19.047225,72.874674
ORD000015,Bangalore,12.94789,77.603236,12.968609,77.605942
ORD000016,Kolkata,22.492689,88.193645,22.45901,88.185344
ORD000017,Hyderabad,17.389845,78.497806,17.508528,78.394615
ORD000018,Ahmedabad,22.98777,72.480353,22.997694,72.46977
ORD000019,Delhi,28.714794,77.120752,28.708469,77.104825
ORD000020,Mumbai,19.260338,72.853754,19.094396,72.896095
ORD000021,Bangalore,12.934094,77.618771,12.920916,77.629177
ORD000022,Kolkata,22.545889,88.365187,22.780354,88.414744
ORD000023,Hyderabad,17.234882,78.456313,17.526502,78.41364
ORD000024,Ahmedabad,23.059219,72.615538,23.068491,72.619917
ORD000025,Delhi,28.846744,77.059797,28.630466,77.214738
ORD000026,Mumbai,19.077375,72.903022,19.072412,72.883869
ORD000027,Bangalore,13.094386,77.592669,12.851185,77.649915
ORD000028,Kolkata,22.496591,88.364692,22.503405,88.37297
ORD000029,Hyderabad,17.608909,78.486475,17.472531,78.3739
ORD000030,Ahmedabad,22.989472,72.453619,22.977119,72.464123
ORD000031,Delhi,28.683419,77.452623,28.661783,77.456678
ORD000032,Mumbai,18.927923,72.824585,18.921916,72.821235
ORD000033,Bangalore,12.827565,77.649458,12.856593,77.677133
ORD000034,Kolkata,22.570005,88.343648,22.687698,88.030965
ORD000035,Hyderabad,17.473192,78.406173,17.465957,78.40782
ORD000036,Ahmedabad,23.093976,72.52945,23.063008,72.628359
ORD000037,Delhi,28.668324,77.426221,28.604091,77.205153
ORD000038,Mumbai,19.123626,72.872351,19.018048,72.880908
ORD000039,Bangalore,12.859217,77.665893,12.834136,77.641572
ORD000040,Kolkata,22.551003,88.317624,22.666861,88.025443
ORD000041,Hyderabad,17.511332,78.388837,17.553545,78.409183
ORD000042,Ahmedabad,22.98506,72.471204,23.007887,72.464249
ORD000043,Delhi,28.718627,77.098909,28.853093,77.084729
ORD000044,Mumbai,19.094976,72.879735,19.023578,72.893822
ORD000045,Bangalore,12.800815,77.572805,12.78775,77.557298
ORD000046,Kolkata,22.474539,88.365451,22.482439,88.369149
ORD000047,Hyderabad,17.379215,78.503117,17.53365,78.418465
ORD000048,Ahmedabad,23.102953,72.536046,23.014853,72.576709
ORD000049,Delhi,28.687016,77.091578,28.69696,77.099048
ORD000050,Mumbai,19.278528,72.871611,19.030192,72.902276
ORD000051,Bangalore,12.8155,77.656918,12.843479,77.66593
ORD000052,Kolkata,22.650724,88.040603,22.475562,88.218146
ORD000053,Hyderabad,17.546343,78.40785,17.442655,78.357404
ORD000054,Ahmedabad,23.115734,72.543286,23.114858,72.520638
ORD000055,Delhi,28.471788,77.031525,28.537288,77.172199
ORD000056,Mumbai,18.931173,72.840196,18.916972,72.837156
ORD000057,Bangalore,13.094993,77.570367,12.91807,77.623091
ORD000058,Kolkata,22.654657,88.053403,22.664762,88.033031
ORD000059,Hyderabad,17.507795,78.388911,17.539801,78.387803
ORD000060,Ahmedabad,22.901404,72.47128,22.912057,72.495076
ORD000061,Delhi,28.68209,77.097549,28.724934,77.100483
ORD000062,Mumbai,19.074494,72.851632,19.082987,72.871683
